Time,k=0.01,k=0.1,k=1,k=10,k=20,k=30,k=5
36.76,59.2238739981534,11.350335632239055,10.009422335584434,2.1247887587342538,0.97958950603929,0.6283283410843749,4.362406950501599
36.77,59.233671796453095,11.4325095295119,10.034552221785624,2.10224389113274,0.9669237809228254,0.6198231308639384,4.334207795769321
36.78,59.24311459830192,11.514114221260607,10.057926596834106,2.0795017958318076,0.9542699383950376,0.6113609220923837,4.305309394053902
36.79,59.25218849477979,11.595800750971092,10.079553727575403,2.056584538611999,0.9416435799091044,0.602953337563,4.275735371146392
36.8,59.26087997473063,11.676892927662506,10.099443017369598,2.0335148773702567,0.9290607731037122,0.5946123264352611,4.245510176582587
36.81,59.269175929946186,11.7567497662433,10.117604997519074,2.0103162759478264,0.9165380548757684,0.5863501608576451,4.214659093646527
36.82,59.27706366005486,11.835171047734566,10.134051319023646,1.9870129173359672,0.9040924320305456,0.578179429857908,4.183208249532111
36.83,59.28453087711715,11.912116117255293,10.14879474456198,1.963629715972708,0.891741378999162,0.5701130297915095,4.151184625591169
36.84,59.2915657099283,11.987586578014769,10.161849140607048,1.9401923287947516,0.8795028320545121,0.5621641510180055,4.1186160675807795
36.85,59.298156708027015,12.06158613496022,10.1732294695905,1.9167271646547592,0.867395179398041,0.5543462600570661,4.085531295804737
36.86,59.304292845409655,12.134105344691507,10.182951782036604,1.89326139165534,0.8554372464335447,0.5466730767995608,4.05195991502388
36.87,59.3099635239467,12.205118614973877,10.191033208591495,1.8698229418877024,0.8436482754930417,0.5391585460149352,4.01793242398708
36.88,59.31515857649957,12.27458847758908,10.197491951876998,1.846440512995722,0.8320478992373517,0.5318168026895435,3.983480224409175
36.89,59.31986826973356,12.34247265855922,10.202347278101586,1.8231435659159336,0.8206561069243706,0.5246621304868846,3.9486356291933458
36.9,59.32408330662365,12.40873040033069,10.205619508363164,1.799962318072333,0.8094932027261412,0.5177089129106996,3.913431869664032
36.91,59.32779482864854,12.473326449989262,10.20733000958018,1.776927731233582,0.798579755287072,0.5109715766094175,3.877903101541582
36.92,59.33099441766871,12.536232766494912,10.207501184988509,1.7540714931718524,0.7879365377559618,0.5044645265737587,3.8420844093520143
36.93,59.333674097483566,12.597428689264747,10.206156464142245,1.731425992200229,0.7775844575999429,0.498202072948465,3.806011808924436
36.94,59.33582633506325,12.656900314643776,10.20332029235674,1.709024283613134,0.7675444756250572,0.4921983495368503,3.769722247584944
36.95,59.33744404145019,12.714639586608463,10.199018119531852,1.6869000470161757,0.7578375137911296,0.4864672241604781,3.7332536016098703
36.96,59.338520572325656,12.770643374515648,10.193276388292832,1.6650875335133188,0.7484843516218482,0.48102220144533,3.69664467045324
36.97,59.33904972823699,12.824912655869328,10.18612252138528,1.6436215017260971,0.7395055112766993,0.4758763187896889,3.659935167214448
36.98,59.3390257544811,12.877451838014633,10.177584908258906,1.622537141657902,0.7309211316688818,0.4710420367125145,3.623165704763096
36.99,59.33844334064021,12.928268213870414,10.167692890772372,1.6018699854923342,0.722750832378581,0.4665311250250893,3.586377776890454
37.0,59.33729761976613,12.977371532415514,10.156476747947432,1.581655804534331,0.7150135685157866,0.4623545467000002,3.549613733812314
37.01,59.33558416720993,13.024773661828116,10.143967679693455,1.561930491671359,0.70772747811892,0.4585223415464495,3.512916751308561
37.02,59.333298999093856,13.07048832511839,10.13019778941266,1.5427299289535703,0.7009097241176829,0.4550435121458726,3.476330792752797
37.03,59.33043857042341,13.114530891512292,10.115200065381163,1.5240898401681238,0.6945763333196537,0.4519259146386062,3.439900563263592
37.04,59.32699977283754,13.15691821031936,10.099008360785238,1.506045628613633,0.6887420352758594,0.4491761571256071,3.4036714552008545
37.05,59.32297993199583,13.197668477030208,10.08165737228414,1.4886322006615833,0.6834201042141861,0.4467995084019881,3.3676894842393597
37.06,59.318376804601634,13.236801123820312,10.063182616987715,1.4718837761154828,0.6786222074748938,0.4447998196730689,3.332001215280884
37.07,59.313188575061496,13.274336728527413,10.043620407795762,1.4558336868332948,0.6743582640148413,0.4431794616216203,3.296653677519896
37.08,59.30741385178096,13.310296937610504,10.02300782715586,1.440514165549056,0.6706363165467556,0.4419392788720745,3.261694268059249
37.09,59.30105166309824,13.344704399685774,10.00138269943805,1.4259561272960974,0.6674624207332881,0.4410785633929055,3.227170643584925
37.1,59.29410145285746,13.377582707051094,9.978783562240515,1.4121889462747852,0.6648405545582914,0.4405950478504233,3.193130599755119
37.11,59.28656307562385,13.408956343223052,9.955249636944757,1.399240231398723,0.6627725505543042,0.4404849192829204,3.1596219381405577
37.12,59.278436791544294,13.438850634970988,9.930820798655684,1.3871356040713063,0.6612580529911057,0.4407428528457757,3.1266923207700277
